,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
1,apache/kafka,linkedin/kafka,16170,storage/src/test/java/org/apache/kafka/server/log/remote/metadata/storage/TopicBasedRemoteLogMetadataManagerRestartTest.java,MODIFIED,MO,1
0,apache/kafka,linkedin/kafka,16170,storage/src/test/java/org/apache/kafka/server/log/remote/metadata/storage/TopicBasedRemoteLogMetadataManagerHarness.java,None,NA,0
2,apache/kafka,linkedin/kafka,16146,core/src/test/java/kafka/log/remote/RemoteLogManagerTest.java,None,NOT EXISTING,0
3,apache/kafka,linkedin/kafka,16142,streams/src/main/java/org/apache/kafka/streams/errors/ErrorHandlerContext.java,None,NOT EXISTING,0
4,apache/kafka,linkedin/kafka,16142,streams/src/main/java/org/apache/kafka/streams/errors/LogAndContinueProcessingExceptionHandler.java,None,NOT EXISTING,0
5,apache/kafka,linkedin/kafka,16142,streams/src/main/java/org/apache/kafka/streams/errors/LogAndFailProcessingExceptionHandler.java,None,NOT EXISTING,0
6,apache/kafka,linkedin/kafka,16142,streams/src/main/java/org/apache/kafka/streams/errors/ProcessingExceptionHandler.java,None,NOT EXISTING,0
7,apache/kafka,linkedin/kafka,16142,streams/src/main/java/org/apache/kafka/streams/errors/internals/DefaultErrorHandlerContext.java,None,NOT EXISTING,0
8,apache/kafka,linkedin/kafka,16141,streams/src/main/java/org/apache/kafka/streams/StreamsConfig.java,None,NA,0
9,apache/kafka,linkedin/kafka,16141,streams/src/test/java/org/apache/kafka/streams/StreamsConfigTest.java,None,NA,0
10,apache/kafka,linkedin/kafka,16125,clients/src/main/java/org/apache/kafka/clients/consumer/internals/AsyncKafkaConsumer.java,None,NOT EXISTING,0
11,apache/kafka,linkedin/kafka,16125,clients/src/test/java/org/apache/kafka/clients/consumer/internals/AsyncKafkaConsumerTest.java,None,NOT EXISTING,0
12,apache/kafka,linkedin/kafka,16117,streams/src/main/java/org/apache/kafka/streams/processor/assignment/assignors/StickyTaskAssignor.java,None,NOT EXISTING,0
13,apache/kafka,linkedin/kafka,16114,streams/src/main/java/org/apache/kafka/streams/processor/assignment/TaskAssignor.java,None,NOT EXISTING,0
14,apache/kafka,linkedin/kafka,16114,streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamsPartitionAssignor.java,None,NA,0
15,apache/kafka,linkedin/kafka,16112,clients/src/test/java/org/apache/kafka/clients/ClientUtilsTest.java,None,NA,0
16,apache/kafka,linkedin/kafka,16099,core/src/test/scala/integration/kafka/api/ProducerFailureHandlingTest.scala,None,NA,0
35,apache/kafka,linkedin/kafka,16092,checkstyle/suppressions.xml,REMOVED,MO,1
60,apache/kafka,linkedin/kafka,16092,clients/src/main/java/org/apache/kafka/common/errors/RecordDeserializationException.java,REMOVED,MO,1
73,apache/kafka,linkedin/kafka,16092,connect/mirror/src/main/java/org/apache/kafka/connect/mirror/MirrorCheckpointTask.java,REMOVED,MO,1
76,apache/kafka,linkedin/kafka,16092,connect/mirror/src/test/java/org/apache/kafka/connect/mirror/MirrorCheckpointTaskTest.java,REMOVED,MO,1
77,apache/kafka,linkedin/kafka,16092,connect/mirror/src/test/java/org/apache/kafka/connect/mirror/OffsetSyncStoreTest.java,REMOVED,MO,1
79,apache/kafka,linkedin/kafka,16092,connect/runtime/src/test/java/org/apache/kafka/connect/util/clusters/EmbeddedKafkaCluster.java,REMOVED,MO,1
86,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,REMOVED,MO,1
92,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/raft/KafkaMetadataLog.scala,REMOVED,MO,1
93,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/raft/RaftManager.scala,REMOVED,MO,1
94,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/serializer/Decoder.scala,REMOVED,SP,1
96,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/server/BrokerServer.scala,REMOVED,MO,1
98,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/server/DelayedFetch.scala,REMOVED,MO,1
107,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/server/metadata/ZkMetadataCache.scala,REMOVED,ED,1
108,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/tools/DumpLogSegments.scala,REMOVED,MO,1
110,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/utils/CoreUtils.scala,REMOVED,MO,1
111,apache/kafka,linkedin/kafka,16092,core/src/main/scala/kafka/utils/Throttler.scala,REMOVED,MO,1
113,apache/kafka,linkedin/kafka,16092,core/src/test/java/kafka/test/junit/RaftClusterInvocationContext.java,REMOVED,MO,1
117,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/AbstractConsumerTest.scala,REMOVED,MO,1
119,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/BaseAdminIntegrationTest.scala,REMOVED,MO,1
120,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/BaseQuotaTest.scala,REMOVED,ED,1
121,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/ConsumerTopicCreationTest.scala,REMOVED,MO,1
122,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/CustomQuotaCallbackTest.scala,REMOVED,MO,1
124,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/DescribeAuthorizedOperationsTest.scala,REMOVED,MO,1
125,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/EndToEndAuthorizationTest.scala,REMOVED,MO,1
126,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/GroupAuthorizerIntegrationTest.scala,REMOVED,MO,1
128,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/ProducerFailureHandlingTest.scala,REMOVED,MO,1
130,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/SaslSslAdminIntegrationTest.scala,REMOVED,MO,1
131,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/SslAdminIntegrationTest.scala,REMOVED,MO,1
132,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/api/TransactionsBounceTest.scala,REMOVED,MO,1
137,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/server/DelayedFetchTest.scala,REMOVED,ED,1
139,apache/kafka,linkedin/kafka,16092,core/src/test/scala/integration/kafka/server/KRaftClusterTest.scala,REMOVED,ED,1
