,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
0,apache/kafka,linkedin/kafka,13784,tools/src/test/java/org/apache/kafka/tools/MetadataQuorumCommandErrorTest.java,None,NOT EXISTING,0
1,apache/kafka,linkedin/kafka,13784,tools/src/main/java/org/apache/kafka/tools/MetadataQuorumCommand.java,None,NOT EXISTING,0
2,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/StreamsBuilder.java,None,NA,0
3,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/CogroupedKStream.java,None,NA,0
4,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/KGroupedStream.java,None,NA,0
5,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/KGroupedTable.java,None,NA,0
6,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/KTable.java,None,NA,0
7,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/SessionWindowedCogroupedKStream.java,None,NA,0
8,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/SessionWindowedKStream.java,None,NA,0
9,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/TimeWindowedCogroupedKStream.java,None,NA,0
10,apache/kafka,linkedin/kafka,13774,streams/src/main/java/org/apache/kafka/streams/kstream/TimeWindowedKStream.java,None,NA,0
22,apache/kafka,linkedin/kafka,13767,clients/src/main/java/org/apache/kafka/clients/consumer/MockConsumer.java,MODIFIED,MO,1
23,apache/kafka,linkedin/kafka,13767,clients/src/test/java/org/apache/kafka/clients/consumer/MockConsumerTest.java,MODIFIED,ED,1
25,apache/kafka,linkedin/kafka,13767,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/ConnectorConfig.java,MODIFIED,MO,1
26,apache/kafka,linkedin/kafka,13767,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/DelegatingClassLoader.java,MODIFIED,MO,1
27,apache/kafka,linkedin/kafka,13767,connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaConfigBackingStore.java,MODIFIED,MO,1
28,apache/kafka,linkedin/kafka,13767,connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStore.java,MODIFIED,MO,1
29,apache/kafka,linkedin/kafka,13767,connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaStatusBackingStore.java,MODIFIED,MO,1
31,apache/kafka,linkedin/kafka,13767,connect/runtime/src/main/java/org/apache/kafka/connect/util/TopicAdmin.java,MODIFIED,ED,1
