Unnamed: 0,Mainline,Fork,Pr nr,GACPD,Pareco
3,apache/kafka,linkedin/kafka,12938,,
6,apache/kafka,linkedin/kafka,12921,,MO
8,apache/kafka,linkedin/kafka,12915,,MO
12,apache/kafka,linkedin/kafka,12893,MO,SP
13,apache/kafka,linkedin/kafka,12887,,ED
15,apache/kafka,linkedin/kafka,12880,,
17,apache/kafka,linkedin/kafka,12868,,
18,apache/kafka,linkedin/kafka,12861,,MO
19,apache/kafka,linkedin/kafka,12859,,
25,apache/kafka,linkedin/kafka,12836,ED,MO
30,apache/kafka,linkedin/kafka,12794,,ED
31,apache/kafka,linkedin/kafka,12789,SP,MO
34,apache/kafka,linkedin/kafka,12774,,MO
38,apache/kafka,linkedin/kafka,12765,,
40,apache/kafka,linkedin/kafka,12752,,
41,apache/kafka,linkedin/kafka,12751,,MO
42,apache/kafka,linkedin/kafka,12749,,MO
48,apache/kafka,linkedin/kafka,12730,,
49,apache/kafka,linkedin/kafka,12721,,MO
51,apache/kafka,linkedin/kafka,12718,,
54,apache/kafka,linkedin/kafka,12710,,
55,apache/kafka,linkedin/kafka,12709,,ED
56,apache/kafka,linkedin/kafka,12704,MO,SP
66,apache/kafka,linkedin/kafka,12660,,MO
68,apache/kafka,linkedin/kafka,12648,,
73,apache/kafka,linkedin/kafka,12606,,
76,apache/kafka,linkedin/kafka,12592,,MO
83,apache/kafka,linkedin/kafka,12539,,MO
84,apache/kafka,linkedin/kafka,12538,MO,CC
85,apache/kafka,linkedin/kafka,12535,,MO
87,apache/kafka,linkedin/kafka,12532,,MO
93,apache/kafka,linkedin/kafka,12486,CC,MO
95,apache/kafka,linkedin/kafka,12468,,MO
101,apache/kafka,linkedin/kafka,12434,SP,MO
102,apache/kafka,linkedin/kafka,12432,,MO
106,apache/kafka,linkedin/kafka,12420,,
107,apache/kafka,linkedin/kafka,12417,,
108,apache/kafka,linkedin/kafka,12416,,
109,apache/kafka,linkedin/kafka,12415,,MO
110,apache/kafka,linkedin/kafka,12412,,MO
111,apache/kafka,linkedin/kafka,12408,,MO
113,apache/kafka,linkedin/kafka,12406,,
119,apache/kafka,linkedin/kafka,12374,MO,ED
121,apache/kafka,linkedin/kafka,12371,MO,
122,apache/kafka,linkedin/kafka,12365,,ED
125,apache/kafka,linkedin/kafka,12359,MO,ED
126,apache/kafka,linkedin/kafka,12341,,
134,apache/kafka,linkedin/kafka,12295,,MO
136,apache/kafka,linkedin/kafka,12288,ED,MO
141,apache/kafka,linkedin/kafka,12259,,SP
142,apache/kafka,linkedin/kafka,12253,,
