,Mainline,Fork,Pr nr,Patch classification,Interesting
1311,apache/kafka,linkedin/kafka,12320,MO,1
1310,apache/kafka,linkedin/kafka,12322,MO,1
1309,apache/kafka,linkedin/kafka,12323,MO,1
1308,apache/kafka,linkedin/kafka,12325,MO,1
1307,apache/kafka,linkedin/kafka,12329,MO,1
1306,apache/kafka,linkedin/kafka,12333,MO,1
1305,apache/kafka,linkedin/kafka,12335,MO,1
1303,apache/kafka,linkedin/kafka,12359,MO,1
1302,apache/kafka,linkedin/kafka,12362,MO,1
1301,apache/kafka,linkedin/kafka,12363,MO,1
1300,apache/kafka,linkedin/kafka,12365,ED,1
1299,apache/kafka,linkedin/kafka,12371,MO,1
1298,apache/kafka,linkedin/kafka,12373,MO,1
1297,apache/kafka,linkedin/kafka,12374,MO,1
30,apache/kafka,linkedin/kafka,19156,MO,1
23,apache/kafka,linkedin/kafka,19188,MO,1
22,apache/kafka,linkedin/kafka,19195,MO,1
20,apache/kafka,linkedin/kafka,19215,MO,1
19,apache/kafka,linkedin/kafka,19230,MO,1
18,apache/kafka,linkedin/kafka,19240,MO,1
45,apache/kafka,linkedin/kafka,19089,ED,1
40,apache/kafka,linkedin/kafka,19109,MO,1
39,apache/kafka,linkedin/kafka,19111,MO,1
36,apache/kafka,linkedin/kafka,19136,MO,1
34,apache/kafka,linkedin/kafka,19145,MO,1
33,apache/kafka,linkedin/kafka,19146,MO,1
1294,apache/kafka,linkedin/kafka,12398,MO,1
1293,apache/kafka,linkedin/kafka,12403,MO,1
1291,apache/kafka,linkedin/kafka,12405,SP,1
1283,apache/kafka,linkedin/kafka,12420,MO,1
1282,apache/kafka,linkedin/kafka,12421,MO,1
1281,apache/kafka,linkedin/kafka,12426,MO,1
1280,apache/kafka,linkedin/kafka,12428,MO,1
63,apache/kafka,linkedin/kafka,18996,ED,1
54,apache/kafka,linkedin/kafka,19027,MO,1
53,apache/kafka,linkedin/kafka,19039,MO,1
52,apache/kafka,linkedin/kafka,19040,MO,1
51,apache/kafka,linkedin/kafka,19047,MO,1
50,apache/kafka,linkedin/kafka,19052,MO,1
49,apache/kafka,linkedin/kafka,19070,MO,1
48,apache/kafka,linkedin/kafka,19076,MO,1
1279,apache/kafka,linkedin/kafka,12432,ED,1
1278,apache/kafka,linkedin/kafka,12434,ED,1
1276,apache/kafka,linkedin/kafka,12447,SP,1
1274,apache/kafka,linkedin/kafka,12454,MO,1
1273,apache/kafka,linkedin/kafka,12455,MO,1
1271,apache/kafka,linkedin/kafka,12478,MO,1
1270,apache/kafka,linkedin/kafka,12486,ED,1
1268,apache/kafka,linkedin/kafka,12518,MO,1
1267,apache/kafka,linkedin/kafka,12519,MO,1
79,apache/kafka,linkedin/kafka,18866,MO,1
77,apache/kafka,linkedin/kafka,18877,MO,1
73,apache/kafka,linkedin/kafka,18889,MO,1
71,apache/kafka,linkedin/kafka,18906,MO,1
68,apache/kafka,linkedin/kafka,18945,MO,1
64,apache/kafka,linkedin/kafka,18994,MO,1
1263,apache/kafka,linkedin/kafka,12533,MO,1
1262,apache/kafka,linkedin/kafka,12535,MO,1
1261,apache/kafka,linkedin/kafka,12538,MO,1
1260,apache/kafka,linkedin/kafka,12539,MO,1
1259,apache/kafka,linkedin/kafka,12568,MO,1
1258,apache/kafka,linkedin/kafka,12578,ED,1
1256,apache/kafka,linkedin/kafka,12584,MO,1
1255,apache/kafka,linkedin/kafka,12585,MO,1
1249,apache/kafka,linkedin/kafka,12613,MO,1
1248,apache/kafka,linkedin/kafka,12623,MO,1
95,apache/kafka,linkedin/kafka,18798,MO,1
92,apache/kafka,linkedin/kafka,18830,ED,1
91,apache/kafka,linkedin/kafka,18833,MO,1
90,apache/kafka,linkedin/kafka,18835,MO,1
84,apache/kafka,linkedin/kafka,18857,MO,1
81,apache/kafka,linkedin/kafka,18860,MO,1
1247,apache/kafka,linkedin/kafka,12634,ED,1
1246,apache/kafka,linkedin/kafka,12639,MO,1
1244,apache/kafka,linkedin/kafka,12648,MO,1
1242,apache/kafka,linkedin/kafka,12660,MO,1
1239,apache/kafka,linkedin/kafka,12681,MO,1
1238,apache/kafka,linkedin/kafka,12683,SP,1
1236,apache/kafka,linkedin/kafka,12690,MO,1
1235,apache/kafka,linkedin/kafka,12693,MO,1
1232,apache/kafka,linkedin/kafka,12704,MO,1
111,apache/kafka,linkedin/kafka,18714,SP,1
110,apache/kafka,linkedin/kafka,18720,ED,1
108,apache/kafka,linkedin/kafka,18727,MO,1
106,apache/kafka,linkedin/kafka,18735,ED,1
103,apache/kafka,linkedin/kafka,18757,ED,1
102,apache/kafka,linkedin/kafka,18758,MO,1
