,Mainline,Fork,Pr nr,Patch classification,Interesting
0,apache/kafka,linkedin/kafka,13008,CC,0
1,apache/kafka,linkedin/kafka,12987,CC,0
2,apache/kafka,linkedin/kafka,12939,ERROR,0
3,apache/kafka,linkedin/kafka,12938,ERROR,0
4,apache/kafka,linkedin/kafka,12935,CC,0
5,apache/kafka,linkedin/kafka,12931,ERROR,0
6,apache/kafka,linkedin/kafka,12921,ERROR,0
7,apache/kafka,linkedin/kafka,12920,ERROR,0
8,apache/kafka,linkedin/kafka,12915,ERROR,0
9,apache/kafka,linkedin/kafka,12912,CC,0
10,apache/kafka,linkedin/kafka,12910,CC,0
11,apache/kafka,linkedin/kafka,12908,ERROR,0
12,apache/kafka,linkedin/kafka,12893,ERROR,0
13,apache/kafka,linkedin/kafka,12887,ERROR,0
14,apache/kafka,linkedin/kafka,12882,CC,0
15,apache/kafka,linkedin/kafka,12880,ERROR,0
16,apache/kafka,linkedin/kafka,12875,CC,0
17,apache/kafka,linkedin/kafka,12868,ERROR,0
18,apache/kafka,linkedin/kafka,12861,NE,0
19,apache/kafka,linkedin/kafka,12859,ERROR,0
20,apache/kafka,linkedin/kafka,12857,CC,0
21,apache/kafka,linkedin/kafka,12851,CC,0
22,apache/kafka,linkedin/kafka,12842,ERROR,0
23,apache/kafka,linkedin/kafka,12841,ERROR,0
24,apache/kafka,linkedin/kafka,12840,ERROR,0
25,apache/kafka,linkedin/kafka,12836,ERROR,0
26,apache/kafka,linkedin/kafka,12829,ERROR,0
27,apache/kafka,linkedin/kafka,12822,ERROR,0
28,apache/kafka,linkedin/kafka,12808,ERROR,0
29,apache/kafka,linkedin/kafka,12799,CC,0
30,apache/kafka,linkedin/kafka,12794,ERROR,0
31,apache/kafka,linkedin/kafka,12789,ERROR,0
32,apache/kafka,linkedin/kafka,12786,CC,0
33,apache/kafka,linkedin/kafka,12779,CC,0
34,apache/kafka,linkedin/kafka,12774,ERROR,0
35,apache/kafka,linkedin/kafka,12772,ERROR,0
36,apache/kafka,linkedin/kafka,12771,ERROR,0
37,apache/kafka,linkedin/kafka,12768,CC,0
38,apache/kafka,linkedin/kafka,12765,ERROR,0
39,apache/kafka,linkedin/kafka,12753,ERROR,0
40,apache/kafka,linkedin/kafka,12752,ERROR,0
41,apache/kafka,linkedin/kafka,12751,ERROR,0
42,apache/kafka,linkedin/kafka,12749,NE,0
43,apache/kafka,linkedin/kafka,12745,ERROR,0
44,apache/kafka,linkedin/kafka,12743,NE,0
45,apache/kafka,linkedin/kafka,12738,CC,0
46,apache/kafka,linkedin/kafka,12732,CC,0
47,apache/kafka,linkedin/kafka,12731,CC,0
48,apache/kafka,linkedin/kafka,12730,ERROR,0
49,apache/kafka,linkedin/kafka,12721,ERROR,0
50,apache/kafka,linkedin/kafka,12720,ERROR,0
51,apache/kafka,linkedin/kafka,12718,ERROR,0
52,apache/kafka,linkedin/kafka,12717,CC,0
53,apache/kafka,linkedin/kafka,12713,CC,0
