,Mainline,Fork,Pr nr,Patch classification,Interesting
0,apache/kafka,linkedin/kafka,14890,ED,1
3,apache/kafka,linkedin/kafka,14855,MO,1
4,apache/kafka,linkedin/kafka,14854,ED,1
11,apache/kafka,linkedin/kafka,14813,SP,1
12,apache/kafka,linkedin/kafka,14810,MO,1
31,apache/kafka,linkedin/kafka,14674,MO,1
30,apache/kafka,linkedin/kafka,14680,MO,1
20,apache/kafka,linkedin/kafka,14741,SP,1
26,apache/kafka,linkedin/kafka,14704,MO,1
28,apache/kafka,linkedin/kafka,14683,MO,1
51,apache/kafka,linkedin/kafka,14573,MO,1
47,apache/kafka,linkedin/kafka,14589,MO,1
40,apache/kafka,linkedin/kafka,14635,MO,1
41,apache/kafka,linkedin/kafka,14628,MO,1
39,apache/kafka,linkedin/kafka,14637,MO,1
34,apache/kafka,linkedin/kafka,14660,MO,1
62,apache/kafka,linkedin/kafka,14500,MO,1
50,apache/kafka,linkedin/kafka,14574,MO,1
48,apache/kafka,linkedin/kafka,14587,SP,1
53,apache/kafka,linkedin/kafka,14550,MO,1
54,apache/kafka,linkedin/kafka,14545,MO,1
58,apache/kafka,linkedin/kafka,14533,MO,1
57,apache/kafka,linkedin/kafka,14539,MO,1
56,apache/kafka,linkedin/kafka,14541,MO,1
63,apache/kafka,linkedin/kafka,14498,MO,1
174,apache/kafka,linkedin/kafka,13886,MO,1
173,apache/kafka,linkedin/kafka,13887,MO,1
172,apache/kafka,linkedin/kafka,13888,MO,1
165,apache/kafka,linkedin/kafka,13920,MO,1
167,apache/kafka,linkedin/kafka,13912,MO,1
148,apache/kafka,linkedin/kafka,14011,ED,1
161,apache/kafka,linkedin/kafka,13938,MO,1
131,apache/kafka,linkedin/kafka,14123,MO,1
132,apache/kafka,linkedin/kafka,14103,ED,1
134,apache/kafka,linkedin/kafka,14092,MO,1
143,apache/kafka,linkedin/kafka,14039,MO,1
140,apache/kafka,linkedin/kafka,14053,MO,1
138,apache/kafka,linkedin/kafka,14070,MO,1
137,apache/kafka,linkedin/kafka,14078,ED,1
136,apache/kafka,linkedin/kafka,14085,ED,1
142,apache/kafka,linkedin/kafka,14046,MO,1
125,apache/kafka,linkedin/kafka,14151,MO,1
122,apache/kafka,linkedin/kafka,14177,MO,1
114,apache/kafka,linkedin/kafka,14269,ED,1
111,apache/kafka,linkedin/kafka,14277,MO,1
106,apache/kafka,linkedin/kafka,14302,ED,1
105,apache/kafka,linkedin/kafka,14303,MO,1
104,apache/kafka,linkedin/kafka,14313,SP,1
96,apache/kafka,linkedin/kafka,14343,MO,1
98,apache/kafka,linkedin/kafka,14336,ED,1
102,apache/kafka,linkedin/kafka,14317,MO,1
100,apache/kafka,linkedin/kafka,14320,ED,1
108,apache/kafka,linkedin/kafka,14297,MO,1
91,apache/kafka,linkedin/kafka,14395,MO,1
93,apache/kafka,linkedin/kafka,14379,MO,1
85,apache/kafka,linkedin/kafka,14427,MO,1
80,apache/kafka,linkedin/kafka,14453,MO,1
82,apache/kafka,linkedin/kafka,14439,MO,1
83,apache/kafka,linkedin/kafka,14437,MO,1
72,apache/kafka,linkedin/kafka,14483,MO,1
67,apache/kafka,linkedin/kafka,14493,MO,1
66,apache/kafka,linkedin/kafka,14495,MO,1
65,apache/kafka,linkedin/kafka,14496,MO,1
64,apache/kafka,linkedin/kafka,14497,MO,1
156,apache/kafka,linkedin/kafka,13957,MO,1
157,apache/kafka,linkedin/kafka,13956,SP,1
145,apache/kafka,linkedin/kafka,14026,MO,1
155,apache/kafka,linkedin/kafka,13958,MO,1
150,apache/kafka,linkedin/kafka,13992,MO,1
178,apache/kafka,linkedin/kafka,13882,MO,1
176,apache/kafka,linkedin/kafka,13884,MO,1
175,apache/kafka,linkedin/kafka,13885,MO,1
179,apache/kafka,linkedin/kafka,13877,MO,1
188,apache/kafka,linkedin/kafka,13808,ED,1
191,apache/kafka,linkedin/kafka,13804,MO,1
181,apache/kafka,linkedin/kafka,13867,MO,1
177,apache/kafka,linkedin/kafka,13883,MO,1
169,apache/kafka,linkedin/kafka,13902,MO,1
33,apache/kafka,linkedin/kafka,14665,NA,0
49,apache/kafka,linkedin/kafka,14584,CC,0
60,apache/kafka,linkedin/kafka,14526,NA,0
61,apache/kafka,linkedin/kafka,14506,NE,0
59,apache/kafka,linkedin/kafka,14532,NE,0
55,apache/kafka,linkedin/kafka,14542,NE,0
52,apache/kafka,linkedin/kafka,14563,NA,0
16,apache/kafka,linkedin/kafka,14785,NE,0
18,apache/kafka,linkedin/kafka,14769,NA,0
17,apache/kafka,linkedin/kafka,14770,NA,0
23,apache/kafka,linkedin/kafka,14726,NE,0
22,apache/kafka,linkedin/kafka,14732,NA,0
21,apache/kafka,linkedin/kafka,14740,NE,0
19,apache/kafka,linkedin/kafka,14751,NA,0
27,apache/kafka,linkedin/kafka,14688,NA,0
25,apache/kafka,linkedin/kafka,14718,NA,0
24,apache/kafka,linkedin/kafka,14722,NA,0
29,apache/kafka,linkedin/kafka,14682,NA,0
1,apache/kafka,linkedin/kafka,14875,NE,0
2,apache/kafka,linkedin/kafka,14869,NA,0
5,apache/kafka,linkedin/kafka,14851,NA,0
7,apache/kafka,linkedin/kafka,14836,NA,0
6,apache/kafka,linkedin/kafka,14840,NA,0
9,apache/kafka,linkedin/kafka,14824,NA,0
15,apache/kafka,linkedin/kafka,14786,NE,0
32,apache/kafka,linkedin/kafka,14667,NA,0
38,apache/kafka,linkedin/kafka,14639,NE,0
37,apache/kafka,linkedin/kafka,14643,NA,0
36,apache/kafka,linkedin/kafka,14650,NA,0
42,apache/kafka,linkedin/kafka,14625,NA,0
43,apache/kafka,linkedin/kafka,14624,NA,0
44,apache/kafka,linkedin/kafka,14622,NA,0
45,apache/kafka,linkedin/kafka,14616,NE,0
46,apache/kafka,linkedin/kafka,14608,NA,0
35,apache/kafka,linkedin/kafka,14657,NE,0
14,apache/kafka,linkedin/kafka,14794,NE,0
13,apache/kafka,linkedin/kafka,14802,NE,0
10,apache/kafka,linkedin/kafka,14823,NA,0
8,apache/kafka,linkedin/kafka,14827,NE,0
94,apache/kafka,linkedin/kafka,14378,NA,0
95,apache/kafka,linkedin/kafka,14366,NA,0
76,apache/kafka,linkedin/kafka,14461,NE,0
79,apache/kafka,linkedin/kafka,14455,NA,0
78,apache/kafka,linkedin/kafka,14457,NA,0
77,apache/kafka,linkedin/kafka,14459,NA,0
73,apache/kafka,linkedin/kafka,14476,CC,0
71,apache/kafka,linkedin/kafka,14484,NA,0
68,apache/kafka,linkedin/kafka,14492,NA,0
70,apache/kafka,linkedin/kafka,14487,NA,0
69,apache/kafka,linkedin/kafka,14490,NA,0
127,apache/kafka,linkedin/kafka,14138,NA,0
126,apache/kafka,linkedin/kafka,14149,NA,0
124,apache/kafka,linkedin/kafka,14156,NA,0
123,apache/kafka,linkedin/kafka,14160,NA,0
120,apache/kafka,linkedin/kafka,14188,NA,0
121,apache/kafka,linkedin/kafka,14187,NA,0
118,apache/kafka,linkedin/kafka,14196,NA,0
119,apache/kafka,linkedin/kafka,14192,NA,0
115,apache/kafka,linkedin/kafka,14228,NA,0
113,apache/kafka,linkedin/kafka,14273,NA,0
117,apache/kafka,linkedin/kafka,14216,NA,0
116,apache/kafka,linkedin/kafka,14224,NA,0
112,apache/kafka,linkedin/kafka,14274,CC,0
107,apache/kafka,linkedin/kafka,14300,NA,0
109,apache/kafka,linkedin/kafka,14292,NA,0
110,apache/kafka,linkedin/kafka,14281,NE,0
99,apache/kafka,linkedin/kafka,14325,NA,0
