,Mainline,Fork,Pr nr,Patch classification,Interesting
0,apache/kafka,linkedin/kafka,19448,MO,1
3,apache/kafka,linkedin/kafka,19374,MO,1
6,apache/kafka,linkedin/kafka,19354,MO,1
20,apache/kafka,linkedin/kafka,19215,MO,1
23,apache/kafka,linkedin/kafka,19188,MO,1
12,apache/kafka,linkedin/kafka,19314,MO,1
10,apache/kafka,linkedin/kafka,19333,MO,1
11,apache/kafka,linkedin/kafka,19319,MO,1
33,apache/kafka,linkedin/kafka,19146,MO,1
34,apache/kafka,linkedin/kafka,19145,MO,1
39,apache/kafka,linkedin/kafka,19111,MO,1
36,apache/kafka,linkedin/kafka,19136,MO,1
30,apache/kafka,linkedin/kafka,19156,MO,1
22,apache/kafka,linkedin/kafka,19195,MO,1
18,apache/kafka,linkedin/kafka,19240,MO,1
19,apache/kafka,linkedin/kafka,19230,MO,1
97,apache/kafka,linkedin/kafka,18796,MO,1
103,apache/kafka,linkedin/kafka,18757,ED,1
102,apache/kafka,linkedin/kafka,18758,MO,1
100,apache/kafka,linkedin/kafka,18767,ED,1
92,apache/kafka,linkedin/kafka,18830,ED,1
95,apache/kafka,linkedin/kafka,18798,MO,1
90,apache/kafka,linkedin/kafka,18835,MO,1
91,apache/kafka,linkedin/kafka,18833,MO,1
73,apache/kafka,linkedin/kafka,18889,MO,1
77,apache/kafka,linkedin/kafka,18877,MO,1
79,apache/kafka,linkedin/kafka,18866,MO,1
64,apache/kafka,linkedin/kafka,18994,MO,1
63,apache/kafka,linkedin/kafka,18996,ED,1
71,apache/kafka,linkedin/kafka,18906,MO,1
68,apache/kafka,linkedin/kafka,18945,MO,1
54,apache/kafka,linkedin/kafka,19027,MO,1
48,apache/kafka,linkedin/kafka,19076,MO,1
49,apache/kafka,linkedin/kafka,19070,MO,1
50,apache/kafka,linkedin/kafka,19052,MO,1
51,apache/kafka,linkedin/kafka,19047,MO,1
52,apache/kafka,linkedin/kafka,19040,MO,1
53,apache/kafka,linkedin/kafka,19039,MO,1
45,apache/kafka,linkedin/kafka,19089,ED,1
40,apache/kafka,linkedin/kafka,19109,MO,1
81,apache/kafka,linkedin/kafka,18860,MO,1
84,apache/kafka,linkedin/kafka,18857,MO,1
170,apache/kafka,linkedin/kafka,18348,MO,1
171,apache/kafka,linkedin/kafka,18340,MO,1
173,apache/kafka,linkedin/kafka,18327,ED,1
137,apache/kafka,linkedin/kafka,18548,MO,1
148,apache/kafka,linkedin/kafka,18492,MO,1
145,apache/kafka,linkedin/kafka,18509,MO,1
157,apache/kafka,linkedin/kafka,18436,MO,1
166,apache/kafka,linkedin/kafka,18382,MO,1
198,apache/kafka,linkedin/kafka,18199,MO,1
183,apache/kafka,linkedin/kafka,18289,MO,1
182,apache/kafka,linkedin/kafka,18296,MO,1
174,apache/kafka,linkedin/kafka,18324,ED,1
