,Mainline,Fork,Pr nr,Patch classification,Interesting
8,apache/kafka,linkedin/kafka,13752,MO,1
11,apache/kafka,linkedin/kafka,13734,ED,1
274,apache/kafka,linkedin/kafka,12253,MO,1
277,apache/kafka,linkedin/kafka,12250,MO,1
278,apache/kafka,linkedin/kafka,12244,MO,1
233,apache/kafka,linkedin/kafka,12434,SP,1
234,apache/kafka,linkedin/kafka,12432,ED,1
235,apache/kafka,linkedin/kafka,12428,MO,1
237,apache/kafka,linkedin/kafka,12421,MO,1
31,apache/kafka,linkedin/kafka,13612,MO,1
32,apache/kafka,linkedin/kafka,13607,MO,1
249,apache/kafka,linkedin/kafka,12398,MO,1
251,apache/kafka,linkedin/kafka,12374,MO,1
252,apache/kafka,linkedin/kafka,12373,MO,1
253,apache/kafka,linkedin/kafka,12371,MO,1
238,apache/kafka,linkedin/kafka,12420,MO,1
216,apache/kafka,linkedin/kafka,12538,MO,1
217,apache/kafka,linkedin/kafka,12535,MO,1
218,apache/kafka,linkedin/kafka,12533,MO,1
46,apache/kafka,linkedin/kafka,13477,MO,1
53,apache/kafka,linkedin/kafka,13441,MO,1
54,apache/kafka,linkedin/kafka,13427,MO,1
55,apache/kafka,linkedin/kafka,13424,MO,1
27,apache/kafka,linkedin/kafka,13634,MO,1
222,apache/kafka,linkedin/kafka,12519,MO,1
223,apache/kafka,linkedin/kafka,12518,MO,1
225,apache/kafka,linkedin/kafka,12486,ED,1
226,apache/kafka,linkedin/kafka,12478,MO,1
229,apache/kafka,linkedin/kafka,12454,MO,1
231,apache/kafka,linkedin/kafka,12447,SP,1
201,apache/kafka,linkedin/kafka,12639,MO,1
210,apache/kafka,linkedin/kafka,12585,MO,1
211,apache/kafka,linkedin/kafka,12584,MO,1
213,apache/kafka,linkedin/kafka,12578,ED,1
214,apache/kafka,linkedin/kafka,12568,MO,1
215,apache/kafka,linkedin/kafka,12539,MO,1
186,apache/kafka,linkedin/kafka,12709,ED,1
187,apache/kafka,linkedin/kafka,12704,MO,1
62,apache/kafka,linkedin/kafka,13372,MO,1
67,apache/kafka,linkedin/kafka,13348,SP,1
68,apache/kafka,linkedin/kafka,13336,MO,1
40,apache/kafka,linkedin/kafka,13523,SP,1
42,apache/kafka,linkedin/kafka,13512,SP,1
190,apache/kafka,linkedin/kafka,12693,MO,1
193,apache/kafka,linkedin/kafka,12683,SP,1
194,apache/kafka,linkedin/kafka,12681,MO,1
197,apache/kafka,linkedin/kafka,12660,MO,1
199,apache/kafka,linkedin/kafka,12648,MO,1
169,apache/kafka,linkedin/kafka,12753,MO,1
170,apache/kafka,linkedin/kafka,12752,MO,1
173,apache/kafka,linkedin/kafka,12745,MO,1
78,apache/kafka,linkedin/kafka,13233,MO,1
81,apache/kafka,linkedin/kafka,13219,MO,1
82,apache/kafka,linkedin/kafka,13212,MO,1
83,apache/kafka,linkedin/kafka,13207,MO,1
84,apache/kafka,linkedin/kafka,13206,MO,1
85,apache/kafka,linkedin/kafka,13194,MO,1
86,apache/kafka,linkedin/kafka,13183,MO,1
87,apache/kafka,linkedin/kafka,13182,MO,1
58,apache/kafka,linkedin/kafka,13401,SP,1
174,apache/kafka,linkedin/kafka,12743,MO,1
176,apache/kafka,linkedin/kafka,12735,MO,1
181,apache/kafka,linkedin/kafka,12720,MO,1
152,apache/kafka,linkedin/kafka,12840,MO,1
153,apache/kafka,linkedin/kafka,12836,MO,1
154,apache/kafka,linkedin/kafka,12829,MO,1
155,apache/kafka,linkedin/kafka,12822,SP,1
156,apache/kafka,linkedin/kafka,12813,SP,1
157,apache/kafka,linkedin/kafka,12808,MO,1
95,apache/kafka,linkedin/kafka,13141,MO,1
98,apache/kafka,linkedin/kafka,13132,ED,1
102,apache/kafka,linkedin/kafka,13108,MO,1
161,apache/kafka,linkedin/kafka,12789,MO,1
164,apache/kafka,linkedin/kafka,12774,ED,1
165,apache/kafka,linkedin/kafka,12772,MO,1
166,apache/kafka,linkedin/kafka,12771,ED,1
136,apache/kafka,linkedin/kafka,12915,MO,1
139,apache/kafka,linkedin/kafka,12908,MO,1
140,apache/kafka,linkedin/kafka,12893,SP,1
144,apache/kafka,linkedin/kafka,12875,MO,1
147,apache/kafka,linkedin/kafka,12859,MO,1
150,apache/kafka,linkedin/kafka,12842,MO,1
151,apache/kafka,linkedin/kafka,12841,MO,1
121,apache/kafka,linkedin/kafka,13014,MO,1
125,apache/kafka,linkedin/kafka,12984,MO,1
111,apache/kafka,linkedin/kafka,13041,MO,1
113,apache/kafka,linkedin/kafka,13032,MO,1
115,apache/kafka,linkedin/kafka,13025,MO,1
118,apache/kafka,linkedin/kafka,13022,MO,1
88,apache/kafka,linkedin/kafka,13178,MO,1
90,apache/kafka,linkedin/kafka,13168,ED,1
128,apache/kafka,linkedin/kafka,12959,ED,1
130,apache/kafka,linkedin/kafka,12939,MO,1
132,apache/kafka,linkedin/kafka,12935,MO,1
133,apache/kafka,linkedin/kafka,12931,MO,1
134,apache/kafka,linkedin/kafka,12921,MO,1
135,apache/kafka,linkedin/kafka,12920,MO,1
104,apache/kafka,linkedin/kafka,13089,MO,1
108,apache/kafka,linkedin/kafka,13055,MO,1
22,apache/kafka,linkedin/kafka,13654,ED,1
264,apache/kafka,linkedin/kafka,12320,MO,1
267,apache/kafka,linkedin/kafka,12289,MO,1
268,apache/kafka,linkedin/kafka,12288,ED,1
254,apache/kafka,linkedin/kafka,12365,ED,1
255,apache/kafka,linkedin/kafka,12363,MO,1
257,apache/kafka,linkedin/kafka,12359,MO,1
259,apache/kafka,linkedin/kafka,12335,MO,1
260,apache/kafka,linkedin/kafka,12329,MO,1
261,apache/kafka,linkedin/kafka,12325,MO,1
262,apache/kafka,linkedin/kafka,12323,MO,1
263,apache/kafka,linkedin/kafka,12322,MO,1
4,apache/kafka,linkedin/kafka,13758,MO,1
2,apache/kafka,linkedin/kafka,13767,MO,1
1,apache/kafka,linkedin/kafka,13774,NA,0
3,apache/kafka,linkedin/kafka,13763,NE,0
5,apache/kafka,linkedin/kafka,13757,CC,0
6,apache/kafka,linkedin/kafka,13755,NE,0
258,apache/kafka,linkedin/kafka,12341,NA,0
256,apache/kafka,linkedin/kafka,12362,CC,0
269,apache/kafka,linkedin/kafka,12280,CC,0
266,apache/kafka,linkedin/kafka,12295,NA,0
265,apache/kafka,linkedin/kafka,12317,CC,0
23,apache/kafka,linkedin/kafka,13653,NE,0
21,apache/kafka,linkedin/kafka,13657,CC,0
20,apache/kafka,linkedin/kafka,13669,NA,0
19,apache/kafka,linkedin/kafka,13672,CC,0
18,apache/kafka,linkedin/kafka,13684,CC,0
17,apache/kafka,linkedin/kafka,13693,CC,0
16,apache/kafka,linkedin/kafka,13695,NE,0
15,apache/kafka,linkedin/kafka,13710,NA,0
